player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Tiny,Winter Wyvern,Rubick,Ogre Magi,Phantom Lancer,Elder Titan,Weaver,Visage,Treant Protector,Nature's Prophet,True
Lina,Medusa,Broodmother,Phoenix,Silencer,Ancient Apparition,Tidehunter,Batrider,Chen,Ogre Magi,True
Axe,Shadow Fiend,Lycan,Lion,Lifestealer,Vengeful Spirit,Ancient Apparition,Brewmaster,Bounty Hunter,Night Stalker,False
Spirit Breaker,Faceless Void,Bristleback,Lich,Death Prophet,Monkey King,Bloodseeker,Shadow Shaman,Jakiro,Windranger,False
Shadow Shaman,Invoker,Clinkz,Tidehunter,Undying,Slardar,Skywrath Mage,Witch Doctor,Crystal Maiden,Weaver,True
Meepo,Bristleback,Sand King,Night Stalker,Phantom Assassin,Bane,Dark Seer,Witch Doctor,Wraith King,Bounty Hunter,True
Puck,Enchantress,Tinker,Legion Commander,Chaos Knight,Bane,Spectre,Ursa,Elder Titan,Warlock,False
Meepo,Night Stalker,Weaver,Pudge,Troll Warlord,Templar Assassin,Axe,Vengeful Spirit,Luna,Beastmaster,True
Timbersaw,Skywrath Mage,Puck,Slark,Lycan,Sniper,Storm Spirit,Monkey King,Nature's Prophet,Arc Warden,True
Huskar,Earth Spirit,Shadow Shaman,Night Stalker,Slark,Sniper,Earthshaker,Broodmother,Legion Commander,Nyx Assassin,True
Warlock,Dazzle,Phantom Assassin,Nature's Prophet,Underlord,Brewmaster,Tiny,Lifestealer,Undying,Anti-Mage,False
Legion Commander,Zeus,Magnus,Morphling,Lycan,Witch Doctor,Tidehunter,Visage,Invoker,Warlock,True
Troll Warlord,Wraith King,Venomancer,Invoker,Dazzle,Windranger,Treant Protector,Phantom Assassin,Meepo,Monkey King,True
Wraith King,Dragon Knight,Brewmaster,Abaddon,Storm Spirit,Queen of Pain,Drow Ranger,Omniknight,Nyx Assassin,Spirit Breaker,False
Riki,Ogre Magi,Razor,Spectre,Underlord,Monkey King,Undying,Witch Doctor,Lich,Tinker,True
Phantom Lancer,Earthshaker,Anti-Mage,Lina,Lone Druid,Zeus,Slark,Tinker,Kunkka,Broodmother,False
